Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
03/17/2021,01/01/2020,03/13/2021,By Total,,,Michigan,Female,40-49 years,130,1730,132,63,,201,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Michigan,Female,45-54 years,201,2647,220,111,10,320,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Michigan,Female,50-64 years,713,8247,819,403,39,1168,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Michigan,Female,55-64 years,597,6630,682,336,30,973,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Michigan,Female,65-74 years,1312,11636,1332,715,34,1961,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Michigan,Female,75-84 years,1826,15834,1586,855,33,2588,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Michigan,Female,85 years and over,2708,25192,2049,1019,28,3766,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,All Ages,6935,60504,5252,2346,154,9991,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,Under 1 year,,317,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,0-17 years,,584,18,0,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,1-4 years,0,77,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,5-14 years,,88,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,15-24 years,,517,10,0,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,18-29 years,12,884,18,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,25-34 years,21,1063,32,,,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,30-39 years,41,1246,45,15,,80,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,35-44 years,57,1418,64,20,,106,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,40-49 years,97,1757,114,38,,177,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,45-54 years,176,2638,188,67,10,307,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,50-64 years,577,8174,603,247,36,969,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,55-64 years,468,6527,490,208,29,779,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,65-74 years,1119,10781,1006,481,35,1677,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,75-84 years,1932,15039,1480,678,31,2765,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,All Sexes,85 years and over,3154,22039,1968,885,37,4272,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,All Ages,3585,30891,2849,1342,80,5170,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,Under 1 year,0,187,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,0-17 years,0,354,,0,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,1-4 years,0,46,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,5-14 years,0,57,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,15-24 years,,370,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,18-29 years,,645,10,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,25-34 years,12,731,22,,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,30-39 years,25,817,35,12,,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,35-44 years,35,890,45,15,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,40-49 years,63,1067,69,27,,106,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,45-54 years,116,1643,111,48,,185,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,50-64 years,380,5087,344,160,18,582,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,55-64 years,310,4046,278,133,13,468,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,65-74 years,676,6316,615,311,19,998,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,75-84 years,1107,7805,838,398,19,1566,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Male,85 years and over,1325,8800,929,432,17,1838,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,All Ages,3350,29613,2403,1004,74,4821,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,Under 1 year,,130,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,0-17 years,,230,,0,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,1-4 years,0,31,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,5-14 years,,31,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,15-24 years,,147,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,18-29 years,,239,,0,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,25-34 years,,332,10,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,30-39 years,16,429,10,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,35-44 years,22,528,19,,,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,40-49 years,34,690,45,11,,71,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,45-54 years,60,995,77,19,,122,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,50-64 years,197,3087,259,87,18,387,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,55-64 years,158,2481,212,75,16,311,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,65-74 years,443,4465,391,170,16,679,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,75-84 years,825,7234,642,280,12,1199,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Minnesota,Female,85 years and over,1829,13239,1039,453,20,2434,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,All Ages,6886,46727,6511,3709,76,9754,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,Under 1 year,0,252,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,0-17 years,,492,,,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,1-4 years,0,53,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,5-14 years,,102,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,15-24 years,16,538,15,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,18-29 years,35,886,34,22,,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,25-34 years,60,1024,59,31,,91,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,30-39 years,105,1301,89,47,,151,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,35-44 years,146,1688,136,72,,216,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,40-49 years,231,2257,215,109,,343,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,45-54 years,380,3058,343,196,,532,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,50-64 years,1210,9001,1232,688,21,1773,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,55-64 years,979,7222,1017,558,18,1454,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,65-74 years,1764,10603,1700,1008,15,2469,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,75-84 years,1929,11426,1806,1079,18,2672,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,All Sexes,85 years and over,1611,10761,1428,755,,2288,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,All Ages,3604,24427,3532,2009,44,5164,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,Under 1 year,0,140,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,0-17 years,,300,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,1-4 years,0,33,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,5-14 years,,61,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,15-24 years,,410,10,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,18-29 years,15,652,17,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,25-34 years,30,703,29,12,,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,30-39 years,56,846,46,21,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,35-44 years,76,1067,76,37,,117,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,40-49 years,116,1360,113,57,,175,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,45-54 years,203,1818,187,110,,283,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,50-64 years,656,5426,707,367,10,1004,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,55-64 years,525,4352,581,289,,824,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,65-74 years,1021,6089,986,590,12,1427,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,75-84 years,1077,5796,1016,619,12,1485,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Male,85 years and over,662,3958,643,345,,961,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,All Ages,3282,22300,2979,1700,32,4590,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,Under 1 year,0,112,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,0-17 years,0,192,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,1-4 years,0,20,0,0,0,0,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,5-14 years,0,41,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,15-24 years,,128,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,18-29 years,20,234,17,13,0,24,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,25-34 years,30,321,30,19,,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,30-39 years,49,455,43,26,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,35-44 years,70,621,60,35,,99,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,40-49 years,115,897,102,52,,168,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,45-54 years,177,1240,156,86,,249,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,50-64 years,554,3575,525,321,11,769,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,55-64 years,454,2870,436,269,,630,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,65-74 years,743,4514,714,418,,1042,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,75-84 years,852,5630,790,460,,1187,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Mississippi,Female,85 years and over,949,6803,785,410,,1327,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,All Ages,10164,88883,8454,4449,217,14378,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,Under 1 year,,510,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,0-17 years,,941,21,0,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,1-4 years,0,109,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,5-14 years,,156,,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,15-24 years,12,997,13,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,18-29 years,24,1755,27,10,,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,25-34 years,32,1913,34,11,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,30-39 years,51,2208,53,20,,91,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,35-44 years,104,2635,103,37,,176,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,40-49 years,181,3234,170,66,10,295,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,45-54 years,285,4571,293,133,16,461,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,50-64 years,1190,14577,1187,589,47,1833,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,55-64 years,1015,11824,995,499,38,1547,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,65-74 years,2124,18301,1877,1016,42,3025,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,75-84 years,2947,22235,2534,1406,56,4129,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,All Sexes,85 years and over,3643,25632,2585,1342,43,4927,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,All Ages,5312,46316,4628,2486,110,7558,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,Under 1 year,0,277,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,0-17 years,,560,11,0,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,1-4 years,0,62,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,5-14 years,,97,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,15-24 years,,716,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,18-29 years,14,1259,20,,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,25-34 years,18,1371,25,,,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,30-39 years,31,1492,32,12,,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,35-44 years,64,1704,58,26,,97,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,40-49 years,105,2031,92,38,,166,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,45-54 years,193,2829,180,90,10,293,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,50-64 years,747,8912,736,366,30,1145,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,55-64 years,617,7198,610,299,26,952,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,65-74 years,1228,10458,1092,597,21,1743,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,75-84 years,1681,11628,1443,831,24,2315,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Male,85 years and over,1504,9976,1202,635,18,2088,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,All Ages,4852,42567,3826,1963,107,6820,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,Under 1 year,,233,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,0-17 years,,381,10,0,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,1-4 years,0,47,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,5-14 years,0,59,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,15-24 years,,281,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,18-29 years,10,496,,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,25-34 years,14,542,,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,30-39 years,20,716,21,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,35-44 years,40,931,45,11,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,40-49 years,76,1203,78,28,,129,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,45-54 years,92,1742,113,43,,168,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,50-64 years,443,5665,451,223,17,688,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,55-64 years,398,4626,385,200,12,595,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,65-74 years,896,7843,785,419,21,1282,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,75-84 years,1266,10607,1091,575,32,1814,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Missouri,Female,85 years and over,2139,15656,1383,707,25,2839,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Montana,All Sexes,All Ages,1509,13799,1240,710,37,2076,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Montana,All Sexes,Under 1 year,0,58,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Montana,All Sexes,0-17 years,0,137,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Montana,All Sexes,1-4 years,0,14,0,0,0,0,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Montana,All Sexes,5-14 years,0,29,0,0,0,0,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Montana,All Sexes,15-24 years,0,167,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Montana,All Sexes,18-29 years,,249,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Montana,All Sexes,25-34 years,,270,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Montana,All Sexes,30-39 years,19,334,17,11,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Montana,All Sexes,35-44 years,24,378,24,14,,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Montana,All Sexes,40-49 years,30,466,24,14,,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Montana,All Sexes,45-54 years,55,678,39,23,,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
